room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6307668,2085458,Entire home/apt,Camden,Hampstead Town,4,5.0,4.0,1.0,144.0,3.0,51.556043,-0.177836,2016-03-07 19:49:01.703977
2181745,11076235,Private room,Hackney,Hackney Wick,3,4.0,2.0,1.0,73.0,1.0,51.545705,-0.038128,2016-03-07 19:48:58.841516
9895270,12511043,Entire home/apt,Kensington and Chelsea,Abingdon,9,4.5,5.0,2.0,199.0,,51.499675,-0.196682,2016-03-07 19:48:55.724694
8185872,43178513,Private room,Camden,Swiss Cottage,3,5.0,2.0,1.0,88.0,1.0,51.544478,-0.181491,2016-03-07 19:48:52.438807
17506,67915,Private room,Hammersmith and Fulham,Town,0,,2.0,1.0,198.0,4.0,51.478644,-0.197861,2016-03-07 19:48:44.445870
8768346,14188254,Entire home/apt,Lewisham,Blackheath,1,5.0,2.0,1.0,116.0,2.0,51.465644,-0.003569,2016-03-07 19:48:39.754378
8874203,22095111,Entire home/apt,Westminster,Lancaster Gate,7,3.5,2.0,1.0,110.0,1.0,51.513742,-0.187619,2016-03-07 19:48:36.974718
1741416,9167609,Private room,Enfield,Chase,0,,2.0,1.0,80.0,1.0,51.66299,-0.060978,2016-03-07 19:48:16.932782
5601118,29038480,Private room,Lambeth,Bishop's,11,4.0,3.0,1.0,80.0,1.0,51.494813,-0.118326,2016-03-07 19:48:13.249416
4088738,21207593,Entire home/apt,Richmond upon Thames,Twickenham Riverside,1,5.0,5.0,2.0,73.0,3.0,51.449228,-0.331383,2016-03-07 19:47:52.281075
8644230,45441251,Entire home/apt,Wandsworth,Queenstown,1,5.0,2.0,1.0,110.0,1.0,51.480256,-0.141976,2016-03-07 19:47:36.032021
7660228,17684278,Private room,Tower Hamlets,Shadwell,0,,1.0,1.0,32.0,14.0,51.512324,-0.046737,2016-03-07 19:47:31.157832
7070099,13815070,Private room,Camden,Swiss Cottage,9,4.5,2.0,1.0,101.0,2.0,51.541361,-0.169008,2016-03-07 19:47:10.753511
3573633,17995645,Private room,Hackney,Haggerston,0,,2.0,1.0,145.0,1.0,51.533583,-0.063726,2016-03-07 19:46:51.002114
2321220,11856272,Entire home/apt,Greenwich,Blackheath Westcombe,15,5.0,5.0,3.0,235.0,3.0,51.483358,0.015881,2016-03-07 19:46:33.156182
93390,501053,Entire home/apt,Kensington and Chelsea,Redcliffe,50,4.5,,3.0,271.0,4.0,51.489581,-0.189445,2016-03-07 19:46:30.619214
523749,2531619,Private room,Ealing,Hobbayne,67,5.0,3.0,1.0,47.0,1.0,51.527074,-0.335501,2016-03-07 19:46:23.995713
6422019,2171520,Private room,Westminster,Hyde Park,2,4.5,2.0,1.0,115.0,3.0,51.515453,-0.173938,2016-03-07 19:46:20.115892
6968788,36539066,Private room,Richmond upon Thames,Twickenham Riverside,0,,2.0,1.0,80.0,2.0,51.453347,-0.317122,2016-03-07 19:46:02.860249
3287526,15851170,Private room,Barnet,Garden Suburb,17,5.0,1.0,1.0,59.0,1.0,51.587882,-0.199788,2016-03-07 19:45:51.909316
9609532,1738795,Private room,Hackney,Shacklewell,1,5.0,1.0,1.0,59.0,5.0,51.553301,-0.076812,2016-03-07 19:45:48.887548
3120412,9031605,Entire home/apt,Camden,Holborn and Covent Garden,5,4.5,4.0,1.0,219.0,3.0,51.520829,-0.117436,2016-03-07 19:45:41.284625
9376882,2550828,Entire home/apt,Lewisham,Lewisham Central,1,4.0,,4.0,219.0,2.0,51.458713,-0.013738,2016-03-07 19:45:37.956404
5216642,3951422,Entire home/apt,Hackney,Victoria,1,5.0,,3.0,239.0,5.0,51.538102,-0.047751,2016-03-07 19:45:33.198458
5664265,6780234,Entire home/apt,Tower Hamlets,Whitechapel,37,4.0,2.0,0.0,110.0,1.0,51.513494,-0.061962,2016-03-07 19:45:23.862654
3190866,10961046,Entire home/apt,Westminster,Tachbrook,0,,4.0,1.0,248.0,5.0,51.487807,-0.132713,2016-03-07 19:45:21.676370
524791,2236297,Entire home/apt,Tower Hamlets,Whitechapel,213,4.0,4.0,1.0,125.0,1.0,51.510664,-0.072236,2016-03-07 19:45:08.285353
5936782,15385496,Private room,Southwark,Cathedrals,1,4.0,1.0,1.0,80.0,7.0,51.500177,-0.103116,2016-03-07 19:44:59.892686
10081000,51728169,Private room,Wandsworth,East Putney,0,,2.0,1.0,63.0,1.0,51.460473,-0.216605,2016-03-07 19:44:53.717409
7324705,22595175,Entire home/apt,Kensington and Chelsea,Pembridge,0,,4.0,2.0,396.0,1.0,51.509923,-0.195478,2016-03-07 19:44:46.244884
8677133,37650646,Entire home/apt,Camden,Hampstead Town,0,,4.0,1.0,219.0,1.0,51.557043,-0.173184,2016-03-07 19:44:26.304223
4523492,1839548,Entire home/apt,Westminster,St. James's,20,4.5,,2.0,367.0,1.0,51.50932,-0.123006,2016-03-07 19:44:19.974323
4059945,21057314,Entire home/apt,Westminster,West End,2,5.0,4.0,2.0,322.0,3.0,51.515603,-0.139279,2016-03-07 19:44:06.850519
3037983,4488354,Private room,Camden,West Hampstead,5,4.5,2.0,1.0,42.0,1.0,51.551223,-0.192843,2016-03-07 19:44:01.028360
9791164,35296980,Private room,Tower Hamlets,Bromley South,0,,2.0,1.0,52.0,1.0,51.521811,-0.021523,2016-03-07 19:43:57.541081
6971912,1829486,Entire home/apt,City of London,City of London,4,4.5,,3.0,708.0,1.0,51.521241,-0.094685,2016-03-07 19:43:51.988753
9483917,29024847,Entire home/apt,Westminster,St. James's,5,5.0,4.0,1.0,205.0,3.0,51.510488,-0.125529,2016-03-07 19:43:39.733766
6771177,35451657,Private room,Wandsworth,East Putney,4,5.0,2.0,1.0,73.0,1.0,51.460438,-0.216654,2016-03-07 19:43:37.710998
5083966,26103207,Entire home/apt,Camden,Regent's Park,1,4.0,4.0,1.0,161.0,3.0,51.53405,-0.136599,2016-03-07 19:43:34.040637
813553,3004297,Entire home/apt,Bromley,Copers Cope,30,4.5,4.0,2.0,52.0,3.0,51.41935,-0.02342,2016-03-07 19:43:25.024805
10896090,48761694,Entire home/apt,Islington,Bunhill,0,,4.0,1.0,135.0,7.0,51.520819,-0.090368,2016-03-07 19:43:22.668175
4117341,2138262,Private room,Southwark,Cathedrals,3,4.5,2.0,1.0,219.0,1.0,51.500716,-0.094425,2016-03-07 19:43:17.049560
4066288,15682238,Private room,Ealing,South Acton,2,4.5,2.0,1.0,66.0,1.0,51.503734,-0.279081,2016-03-07 19:43:10.945439
6542164,34213643,Private room,Kensington and Chelsea,Brompton & Hans Town,0,,1.0,1.0,95.0,1.0,51.492238,-0.165125,2016-03-07 19:43:05.668605
10113846,51816240,Entire home/apt,Islington,Junction,0,,2.0,1.0,116.0,3.0,51.566294,-0.132695,2016-03-07 19:42:55.785808
8639959,31155883,Entire home/apt,Brent,Kensal Green,3,5.0,,3.0,110.0,1.0,51.53633,-0.238637,2016-03-07 19:42:48.346814
11144497,7086939,Private room,Lambeth,Vassall,0,,2.0,1.0,44.0,1.0,51.477735,-0.104044,2016-03-07 19:42:43.123858
10335760,23888532,Private room,Hackney,Hackney Downs,0,,2.0,1.0,52.0,1.0,51.562404,-0.063906,2016-03-07 19:42:39.437100
5027897,13074172,Entire home/apt,Waltham Forest,High Street,1,5.0,2.0,2.0,59.0,2.0,51.586734,-0.034715,2016-03-07 19:42:29.855583
5767955,24994343,Entire home/apt,Westminster,Marylebone High Street,0,,4.0,2.0,404.0,7.0,51.517894,-0.15782,2016-03-07 19:42:23.875290
