room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
40738,166236,Entire home/apt,Hackney,Haggerston,35,4.5,4,1.0,225.0,2,51.52871,-0.076116,2015-01-17 22:32:38.525
40925,168259,Private room,Waltham Forest,Cann Hall,34,4.5,2,1.0,90.0,2,51.556994,0.014056,2015-01-18 11:38:57.776
41311,103583,Private room,Barnet,Golders Green,35,5.0,2,1.0,66.0,3,51.573754,-0.208903,2015-01-18 02:53:06.946
41509,181028,Private room,Hounslow,Turnham Green,28,4.0,2,1.0,112.0,1,51.491567,-0.256,2015-01-17 22:46:08.819
41645,181902,Entire home/apt,Camden,Regent's Park,11,5.0,6,2.0,372.0,2,51.526676,-0.13819,2015-01-18 08:12:18.825
41712,182322,Private room,Southwark,Cathedrals,46,4.5,2,1.0,157.0,1,51.501012,-0.098697,2015-01-18 13:03:34.545
42001,183658,Private room,Hammersmith and Fulham,Avonmore and Brook Green,106,4.5,3,1.0,103.0,2,51.494409,-0.204787,2015-01-17 21:17:28.267
42010,157884,Private room,Barnet,East Finchley,285,5.0,2,1.0,103.0,2,51.586113,-0.162722,2015-01-17 21:56:00.250
42692,186510,Private room,Hammersmith and Fulham,Shepherd's Bush Green,0,,1,1.0,234.0,1,51.508032,-0.21599,2015-01-18 09:48:44.966
42839,187107,Private room,Lewisham,Evelyn,0,,2,1.0,107.0,3,51.489856,-0.031195,2015-01-18 02:18:53.464
42966,187556,Private room,Southwark,The Lane,21,5.0,2,1.0,65.0,4,51.466421,-0.071258,2015-01-18 11:08:57.577
43129,188138,Shared room,Hammersmith and Fulham,Munster,45,4.5,2,1.0,93.0,2,51.481304,-0.209925,2015-01-18 04:39:09.356
43202,188559,Entire home/apt,Brent,Queens Park,13,5.0,2,1.0,206.0,2,51.530445,-0.216873,2015-01-18 09:39:16.157
43448,189764,Private room,Islington,Caledonian,60,4.5,1,1.0,112.0,4,51.532135,-0.119294,2015-01-18 08:58:26.983
43814,191604,Entire home/apt,Westminster,Marylebone High Street,43,4.5,4,2.0,519.0,2,51.516981,-0.150939,2015-01-17 22:50:43.005
44117,193216,Private room,Southwark,Newington,38,4.5,2,1.0,107.0,1,51.491113,-0.100046,2015-01-18 02:08:54.079
44138,193280,Private room,Hammersmith and Fulham,Sands End,1,5.0,1,1.0,112.0,1,51.46879,-0.189874,2015-01-18 03:38:09.551
44144,193280,Private room,Hammersmith and Fulham,Sands End,1,4.5,2,1.0,150.0,1,51.470309,-0.189939,2015-01-18 04:02:14.232
44237,193280,Private room,Hammersmith and Fulham,Sands End,1,4.0,2,1.0,150.0,1,51.473641,-0.190806,2015-01-18 10:28:24.831
44525,67625,Entire home/apt,Camden,Holborn and Covent Garden,49,4.5,3,1.0,280.0,5,51.519121,-0.1226,2015-01-18 12:50:21.562
44649,48653,Private room,Hackney,De Beauvoir,33,4.5,2,1.0,62.0,1,51.540607,-0.084626,2015-01-18 03:33:43.928
45087,199126,Private room,Tower Hamlets,Weavers,117,5.0,2,1.0,131.0,3,51.528815,-0.073155,2015-01-17 22:19:21.295
45163,199530,Private room,Camden,Fortune Green,0,,1,1.0,140.0,4,51.55224,-0.199644,2015-01-18 03:42:34.095
45168,199549,Entire home/apt,Westminster,Bayswater,54,5.0,4,1.0,225.0,3,51.516032,-0.195891,2015-01-18 04:02:22.178
45434,201568,Private room,Lambeth,Gipsy Hill,6,5.0,2,1.0,65.0,1,51.424313,-0.085426,2015-01-18 04:43:00.296
46511,208052,Private room,Newham,Plaistow North,0,,2,1.0,131.0,1,51.536045,0.019398,2015-01-18 08:20:49.885
46825,210050,Private room,Bromley,Penge and Cator,8,4.0,3,1.0,54.0,2,51.411814,-0.065834,2015-01-18 12:31:22.642
46992,211291,Private room,Hackney,Homerton,83,4.5,3,1.0,71.0,3,51.550216,-0.050782,2015-01-18 06:13:17.400
47179,479568,Entire home/apt,Wandsworth,Latchmere,2,4.0,2,1.0,206.0,4,51.46646,-0.17796,2015-01-18 01:24:38.250
47192,212734,Private room,Camden,Regent's Park,143,4.5,1,1.0,66.0,2,51.529804,-0.142292,2015-01-18 02:23:24.823
47369,214258,Private room,Westminster,Hyde Park,35,4.5,2,1.0,112.0,2,51.519429,-0.184538,2015-01-17 20:43:23.961
47687,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,43,5.0,2,1.0,146.0,1,51.495062,-0.227499,2015-01-18 01:07:08.153
49481,225548,Private room,Greenwich,Greenwich West,0,,2,1.0,94.0,1,51.473124,-0.017676,2015-01-18 01:15:55.753
49970,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,34,4.5,2,1.0,137.0,1,51.495266,-0.229376,2015-01-17 23:38:50.912
51243,133658,Entire home/apt,Islington,Junction,18,4.0,2,1.0,103.0,4,51.559802,-0.130049,2015-01-17 23:10:47.062
51830,239020,Entire home/apt,Westminster,Bayswater,50,5.0,3,1.0,224.0,3,51.517324,-0.19313,2015-01-18 04:26:57.691
52151,99183,Entire home/apt,Islington,Mildmay,7,4.0,2,1.0,159.0,6,51.549574,-0.088083,2015-01-18 08:54:29.698
52751,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,10,4.5,4,1.0,187.0,1,51.494096,-0.229237,2015-01-17 21:09:40.301
52940,157884,Private room,Barnet,Garden Suburb,209,5.0,2,1.0,122.0,2,51.586335,-0.163916,2015-01-18 10:24:06.822
53041,246399,Private room,Camden,West Hampstead,49,5.0,2,1.0,79.0,2,51.548109,-0.195629,2015-01-17 23:34:28.794
53242,247650,Private room,Lambeth,Larkhall,6,5.0,1,1.0,136.0,1,51.470752,-0.129126,2015-01-18 13:49:10.520
53245,247650,Entire home/apt,Lambeth,Stockwell,3,5.0,2,1.0,176.0,1,51.472186,-0.127222,2015-01-18 14:03:20.299
54970,202973,Private room,Brent,Mapesbury,75,5.0,5,1.0,92.0,2,51.550826,-0.214145,2015-01-18 09:06:30.033
55133,157884,Private room,Haringey,Fortis Green,176,5.0,3,1.0,122.0,2,51.584101,-0.161876,2015-01-18 02:44:29.698
55574,857701,Entire home/apt,Westminster,Marylebone High Street,2,5.0,4,2.0,375.0,1,51.517019,-0.151094,2015-01-17 21:38:11.524
56229,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,22,4.5,2,1.0,146.0,1,51.493551,-0.228644,2015-01-18 07:42:12.154
56299,77053,Private room,Islington,Tollington,103,5.0,2,1.0,80.0,2,51.564216,-0.124133,2015-01-18 12:42:20.275
56376,246399,Entire home/apt,Camden,West Hampstead,22,5.0,4,2.0,225.0,3,51.546886,-0.195862,2015-01-18 00:02:53.142
56784,269609,Private room,Croydon,Bensham Manor,0,,2,1.0,65.0,1,51.399977,-0.10548,2015-01-18 10:44:29.742
57627,202973,Private room,Brent,Mapesbury,66,5.0,2,1.0,84.0,3,51.550155,-0.213878,2015-01-17 22:00:47.022
